Functional_group_correct,Functional_group,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coral_palido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coral_blanco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coral_muerte_reciente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turf,tapete,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cianobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arena,Sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cascajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roca,Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roca,grava,,,,,,,,,,,,,,,,,,,,,,,,,,Boulders,,
roca,Ruubble,,,,,,,,,,,,,,,,,,,,,,,,,Sand,,,
roca,Boulders,,,,,,,,,,,,,,,,,,,,,,Fleshy_algae,,,,,,
sustrato_indeterminado,,,,,,,,,,,,,,,,,,,,Cyanobacteria,,,,,,,,,
coral_muerto,Dead_coral,,,,,,,,,,,,,,,,Encrusting_calcareous_algae,,,,,,,,,,,,
coral,Pavona,,,,,,,,,,,,,,,,,,,,,,,,,,Gardineroseris,,
coral,pavona_clavus,,,,,,,,,,,,,,,,,,,,,,,,,Pocillopora,,Sand,
coral,pavona_gigantea,,,,,,,,,,,,,,,,,,,,,Encrusting_sponges,,,Fleshy_algae,,,,
coral,pavona_varians,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,,,,,,,
coral,pocillopora_elegans,,,,,,,,,,,,,,,,,,Encrusting_calcareous_algae,,,,,,,,,,
coral,pocillopora_sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gardineroseris
coral,porites,,,,,,,,,,,,,,,,,,,,,,,,,,,Pocillopora,
coral,panamensis,,,,,,,,,,,,,,,,,,,,,,,Encrusting_sponges,,,,,
coral,psammocora_stellata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coral,gardineroseris_planulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coral,Gardineroseris,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coral,Psammocora,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otros,esponjas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otros,hidrozoario,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otros,ascidias,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otros,ascidia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otros,zoanthido,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otros,poliqueto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otros,tunicado,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otros,anemona,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otros,octocoral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otros,lapa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otros,rodolito,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otros,moluscos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otros,cirripedio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otros,poliquetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otros,cnidarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otros,balano,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otros,bryozoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otros,colonias_incrustantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alga_calcarea_costrosa,Calcareous_algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otros,anemonas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
macroalga,alga_parda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
macroalga,alga_cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
macroalga,sargassum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
macroalga,padina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
macroalga,alga_roja,,,,,,,,,,,,,,,,,,,,,,,,,,,,
macroalga,alga_verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,
macroalga,Turfing_algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,
macroalga,Fleshy_algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alga_calcarea_costrosa,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alga_calcarea_costrosa,alga_calcarea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alga_calcarea_costrosa,alga_coralina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otros,Cyanobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alga_calcarea_costrosa,Encrusting_calcareous_algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,
